City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,ta`u,-14.2336,-169.5144,27.02,84,26,4.91,AS,1689956215
273,yarmouth,41.7057,-70.2286,27.26,79,0,2.57,US,1689956215
274,luanda,-8.8368,13.2343,25.0,69,20,2.06,AO,1689956215
275,toliara,-23.35,43.6667,20.34,62,6,9.49,MG,1689956215
276,chibougamau,49.9168,-74.3659,16.79,94,100,1.52,CA,1689956216
277,alofi,-19.0595,-169.9187,22.94,94,67,5.14,NU,1689956018
278,amga,60.8953,131.9608,12.28,97,91,1.48,RU,1689956216
279,ulanhot,46.0833,122.0833,19.36,94,100,1.83,CN,1689956216
280,da nang,16.0678,108.2208,29.99,79,40,3.09,VN,1689956216
281,bintulu,3.1667,113.0333,23.23,100,40,1.03,MY,1689956216
282,srivardhan,18.0333,73.0167,26.75,89,100,7.19,IN,1689956216
283,harstad,68.799,16.5293,15.66,97,100,3.13,NO,1689956032
284,gargalianoi,37.0667,21.6333,31.86,55,0,2.34,GR,1689956216
285,huicungo,-7.2833,-76.8,27.14,78,40,2.06,PE,1689956216
286,dryden,49.7833,-92.7503,23.16,60,0,4.63,CA,1689956217
287,fort bragg,35.139,-79.006,32.33,54,0,5.66,US,1689956217
288,fredericton,45.9454,-66.6656,27.68,69,75,5.14,CA,1689956217
289,stephenville,32.2207,-98.2023,34.87,35,0,3.6,US,1689956217
290,bonthe,7.5264,-12.505,26.08,85,100,5.82,SL,1689956217
291,mbandaka,0.0487,18.2603,27.96,56,88,1.04,CD,1689956217
292,pisco,-13.7,-76.2167,20.03,73,100,4.63,PE,1689956217
293,barguzin,53.6167,109.6167,17.22,58,92,1.68,RU,1689956217
294,susuman,62.7833,148.1667,16.97,60,3,3.38,RU,1689956217
295,kodinsk,58.6881,99.1844,19.12,53,0,1.52,RU,1689956218
296,lazaro cardenas,17.9583,-102.2,29.62,72,21,0.93,MX,1689956218
297,cole harbour,44.6724,-63.4751,22.12,91,85,4.12,CA,1689956218
298,sinop,41.7711,34.8709,22.67,69,2,1.75,TR,1689956218
299,neryungri,56.6709,124.6491,11.69,93,95,1.08,RU,1689956218
300,lubango,-14.9172,13.4925,21.7,17,81,2.79,AO,1689956218
301,kununurra,-15.7667,128.7333,16.99,77,4,0.0,AU,1689956218
302,iquitos,-3.7481,-73.2472,29.02,89,75,2.57,PE,1689956219
303,lata,40.1629,-8.3327,22.82,40,23,5.83,PT,1689956219
304,galliano,29.4422,-90.2992,34.44,59,40,2.06,US,1689956219
305,richards bay,-28.783,32.0377,15.63,72,47,3.84,ZA,1689956022
306,timon,-5.0942,-42.8367,32.88,38,75,6.17,BR,1689956219
307,mirny,62.5353,113.9611,20.13,64,89,4.02,RU,1689956000
308,calingasta,-31.3308,-69.4078,20.06,9,98,4.56,AR,1689956219
309,quiindy,-25.9667,-57.2667,30.28,40,14,7.48,PY,1689956219
310,arteche,12.2645,125.4048,25.96,91,75,2.32,PH,1689956219
311,olinda,-8.0089,-34.8553,28.85,58,40,7.2,BR,1689956133
312,new norfolk,-42.7826,147.0587,7.72,87,84,1.22,AU,1689956027
313,colonia,50.9333,6.95,20.53,57,0,6.17,DE,1689956030
314,chinchilla,-26.75,150.6333,10.14,65,5,4.28,AU,1689956220
315,onokhoy,51.932,108.0747,17.86,76,84,1.95,RU,1689956220
316,portland,45.5234,-122.6762,20.32,76,100,2.06,US,1689956016
317,jalai nur,49.45,117.7,17.08,94,100,4.06,CN,1689956078
318,storvreta,59.9667,17.7,18.99,59,40,3.6,SE,1689956220
319,greymouth,-42.4667,171.2,1.49,88,17,3.72,NZ,1689956220
320,kirkintilloch,55.9393,-4.1526,18.78,52,96,5.14,GB,1689956220
321,suva,-18.1416,178.4415,21.63,90,51,1.35,FJ,1689956220
322,lethem,3.3803,-59.7968,32.62,51,11,2.88,GY,1689956221
323,undurkhaan,47.3194,110.6556,14.41,84,83,1.17,MN,1689956221
324,lompoc,34.6391,-120.4579,15.23,100,100,0.0,US,1689955953
325,waddan,29.1614,16.139,38.86,12,0,7.3,LY,1689956221
326,cannonvale,-20.2833,148.7,19.66,80,6,1.21,AU,1689956221
327,pyapon,16.2833,95.6833,26.64,89,100,2.69,MM,1689956221
328,bowen,-20.0167,148.2333,17.47,83,6,2.03,AU,1689956068
329,madhogarh,26.276,79.1869,36.49,40,24,3.06,IN,1689956221
330,severo-yeniseyskiy,60.3725,93.0408,16.73,60,54,1.97,RU,1689956222
331,labrador city,52.9463,-66.9114,19.95,56,75,4.63,CA,1689956222
332,andergrove,-21.0833,149.1833,15.91,82,27,2.74,AU,1689956222
333,arawa,-6.2132,155.5367,24.67,97,100,1.51,PG,1689956222
334,touros,-5.1989,-35.4608,28.31,56,50,8.61,BR,1689956222
335,las vegas,36.175,-115.1372,39.69,16,0,2.57,US,1689955520
336,nova vicosa,-17.8919,-39.3719,23.58,70,100,7.23,BR,1689956009
337,mananara,-16.1667,49.7667,21.54,89,98,3.95,MG,1689956223
338,caspe,41.234,-0.0395,33.03,23,0,3.79,ES,1689956077
339,yenotayevka,47.2456,47.0281,30.37,38,59,3.72,RU,1689956223
340,winnemucca,40.973,-117.7357,29.69,7,0,0.74,US,1689956053
341,san andres,12.5847,-81.7006,31.01,74,20,6.17,CO,1689956224
342,panacan,9.2463,118.4082,26.23,87,100,1.76,PH,1689956224
343,acapulco de juarez,16.8634,-99.8901,31.9,62,75,2.06,MX,1689955948
344,igarka,67.4667,86.5833,19.47,67,87,4.09,RU,1689956224
345,mejit,10.2753,170.8646,28.12,78,98,8.57,MH,1689956224
346,campechuela,20.2342,-77.2789,30.33,70,61,2.17,CU,1689956225
